variant,condition,episode,signed_err,success
baseline,A0,0,-1.91,1
baseline,A0,1,1.36,1
baseline,A0,2,-1.57,1
baseline,A0,3,,0
baseline,A0,4,1.98,1
baseline,A0,5,2.14,1
baseline,A0,6,1.88,1
baseline,A0,7,2.71,1
baseline,A0,8,1.76,1
baseline,A0,9,,0
baseline,L550,0,-2.92,1
baseline,L550,1,,0
baseline,L550,2,-2.72,1
baseline,L550,3,-2.39,1
baseline,L550,4,-2.21,1
baseline,L550,5,,0
baseline,L550,6,-2.06,1
baseline,L550,7,-1.92,1
baseline,L550,8,1.05,1
baseline,L550,9,-1.61,1
baseline,SHADOW,0,-1.48,1
baseline,SHADOW,1,0.99,1
baseline,SHADOW,2,1.33,1
baseline,SHADOW,3,1.01,1
baseline,SHADOW,4,1.69,1
baseline,SHADOW,5,2.25,1
baseline,SHADOW,6,-0.96,1
baseline,SHADOW,7,-1.25,1
baseline,SHADOW,8,1.45,1
baseline,SHADOW,9,-0.95,1
implicit,A0,0,1.69,1
implicit,A0,1,1.39,1
implicit,A0,2,2.06,1
implicit,A0,3,1.38,1
implicit,A0,4,1.08,1
implicit,A0,5,2.14,1
implicit,A0,6,1.55,1
implicit,A0,7,2.33,1
implicit,A0,8,1.62,1
implicit,A0,9,0.44,1
implicit,L550,0,-2.46,1
implicit,L550,1,-2.74,1
implicit,L550,2,,0
implicit,L550,3,,0
implicit,L550,4,-2.49,1
implicit,L550,5,,0
implicit,L550,6,,0
implicit,L550,7,,0
implicit,L550,8,,0
implicit,L550,9,,0
implicit,SHADOW,0,-1.86,1
implicit,SHADOW,1,-1.02,1
implicit,SHADOW,2,-1.42,1
implicit,SHADOW,3,-1.04,1
implicit,SHADOW,4,-1.85,1
implicit,SHADOW,5,,0
implicit,SHADOW,6,-1.13,1
implicit,SHADOW,7,-1.30,1
implicit,SHADOW,8,-0.93,1
implicit,SHADOW,9,-1.16,1
